CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX;%C's;%IMAGINA BUR;%PCAS-TC;%PORBUR;%PP;%PSOE;%SAIn;%UPYD;%VOX
905909019;9;9;19;65;146;6;11;126;156;2;13;8;12.195;27.392;1.126;2.064;23.64;29.268;0.375;2.439;1.501
905909020;9;9;20;37;70;0;9;113;100;1;13;12;10.423;19.718;0.0;2.535;31.831;28.169;0.282;3.662;3.38
905909021;9;9;21;63;112;7;16;234;196;4;9;9;9.692;17.231;1.077;2.462;36.0;30.154;0.615;1.385;1.385
905909022;9;9;22;51;106;2;10;174;175;2;19;12;9.256;19.238;0.363;1.815;31.579;31.76;0.363;3.448;2.178
905909023;9;9;23;97;210;12;21;199;275;2;8;6;11.687;25.301;1.446;2.53;23.976;33.133;0.241;0.964;0.723
905909024;9;9;24;103;216;5;18;113;234;5;12;13;14.325;30.042;0.695;2.503;15.716;32.545;0.695;1.669;1.808
905909025;9;9;25;47;121;2;12;100;191;1;12;11;9.457;24.346;0.402;2.414;20.121;38.431;0.201;2.414;2.213
905905049;9;5;49;109;93;8;12;153;108;7;12;18;20.962;17.885;1.538;2.308;29.423;20.769;1.346;2.308;3.462
905905050;9;5;50;116;104;11;20;137;91;5;8;28;22.308;20.0;2.115;3.846;26.346;17.5;0.962;1.538;5.385
905906001;9;6;1;34;58;0;13;179;63;3;12;11;9.115;15.55;0.0;3.485;47.989;16.89;0.804;3.217;2.949
905906002;9;6;2;58;74;4;11;157;50;2;1;13;15.676;20.0;1.081;2.973;42.432;13.514;0.541;0.27;3.514
905906003;9;6;3;59;57;4;8;167;54;4;6;12;15.903;15.364;1.078;2.156;45.013;14.555;1.078;1.617;3.235
905906004;9;6;4;98;117;5;19;269;126;4;19;21;14.454;17.257;0.737;2.802;39.676;18.584;0.59;2.802;3.097
905906005;9;6;5;80;112;7;17;252;141;9;13;15;12.384;17.337;1.084;2.632;39.009;21.827;1.393;2.012;2.322
905905002;9;5;2;94;85;4;18;206;101;1;14;31;16.968;15.343;0.722;3.249;37.184;18.231;0.181;2.527;5.596
905905003;9;5;3;75;77;5;11;171;100;2;7;9;16.411;16.849;1.094;2.407;37.418;21.882;0.438;1.532;1.969
905905004;9;5;4;69;97;4;12;219;115;6;17;13;12.5;17.572;0.725;2.174;39.674;20.833;1.087;3.08;2.355
905905005;9;5;5;55;75;4;9;182;112;4;15;12;11.752;16.026;0.855;1.923;38.889;23.932;0.855;3.205;2.564
905905006;9;5;6;70;50;1;18;227;45;2;4;23;15.909;11.364;0.227;4.091;51.591;10.227;0.455;0.909;5.227
905905007;9;5;7;105;79;2;19;254;80;3;9;23;18.293;13.763;0.348;3.31;44.251;13.937;0.523;1.568;4.007
905905008;9;5;8;58;99;5;12;140;86;0;6;7;14.044;23.971;1.211;2.906;33.898;20.823;0.0;1.453;1.695
905905009;9;5;9;77;122;8;22;286;111;1;10;7;11.957;18.944;1.242;3.416;44.41;17.236;0.155;1.553;1.087
905905010;9;5;10;101;111;6;22;253;116;3;21;17;15.538;17.077;0.923;3.385;38.923;17.846;0.462;3.231;2.615
905909026;9;9;26;74;110;11;12;247;166;5;25;6;11.28;16.768;1.677;1.829;37.652;25.305;0.762;3.811;0.915
905909027;9;9;27;74;125;7;24;205;199;13;13;10;11.045;18.657;1.045;3.582;30.597;29.701;1.94;1.94;1.493
905909028;9;9;28;52;115;3;5;130;158;3;11;6;10.766;23.81;0.621;1.035;26.915;32.712;0.621;2.277;1.242
905909029;9;9;29;71;90;7;10;158;164;0;22;6;13.447;17.045;1.326;1.894;29.924;31.061;0.0;4.167;1.136
905909030;9;9;30;51;102;6;10;160;162;1;5;6;10.139;20.278;1.193;1.988;31.809;32.207;0.199;0.994;1.193
905909031;9;9;31;52;120;7;9;122;176;0;16;8;10.196;23.529;1.373;1.765;23.922;34.51;0.0;3.137;1.569
905909032;9;9;32;22;85;3;12;116;122;1;9;6;5.851;22.606;0.798;3.191;30.851;32.447;0.266;2.394;1.596
905909033;9;9;33;36;95;3;8;115;116;5;7;5;9.231;24.359;0.769;2.051;29.487;29.744;1.282;1.795;1.282
905909034;9;9;34;55;72;4;20;151;96;2;12;2;13.285;17.391;0.966;4.831;36.473;23.188;0.483;2.899;0.483
905909035;9;9;35;114;287;9;24;191;299;6;23;14;11.789;29.679;0.931;2.482;19.752;30.92;0.62;2.378;1.448
905901001;9;1;1;62;58;2;11;136;61;0;6;15;17.664;16.524;0.57;3.134;38.746;17.379;0.0;1.709;4.274
905905011;9;5;11;86;86;11;19;318;87;3;13;20;13.375;13.375;1.711;2.955;49.456;13.53;0.467;2.022;3.11
905905012;9;5;12;71;117;7;13;127;140;3;6;11;14.343;23.636;1.414;2.626;25.657;28.283;0.606;1.212;2.222
905905013;9;5;13;78;158;7;17;169;179;5;6;7;12.46;25.24;1.118;2.716;26.997;28.594;0.799;0.958;1.118
905909036;9;9;36;56;97;9;7;120;147;3;11;5;12.308;21.319;1.978;1.538;26.374;32.308;0.659;2.418;1.099
905909037;9;9;37;60;157;3;27;135;172;2;13;10;10.363;27.116;0.518;4.663;23.316;29.706;0.345;2.245;1.727
905909038;9;9;38;69;100;3;14;115;149;3;14;5;14.619;21.186;0.636;2.966;24.364;31.568;0.636;2.966;1.059
905905036;9;5;36;49;43;5;20;169;48;1;4;16;13.803;12.113;1.408;5.634;47.606;13.521;0.282;1.127;4.507
905905037;9;5;37;83;56;5;7;272;74;0;7;32;15.485;10.448;0.933;1.306;50.746;13.806;0.0;1.306;5.97
905905038;9;5;38;190;244;16;54;262;186;3;27;30;18.775;24.111;1.581;5.336;25.889;18.379;0.296;2.668;2.964
905905039;9;5;39;44;138;5;12;90;135;10;11;11;9.649;30.263;1.096;2.632;19.737;29.605;2.193;2.412;2.412
905905040;9;5;40;126;243;10;21;195;225;6;27;23;14.384;27.74;1.142;2.397;22.26;25.685;0.685;3.082;2.626
905905041;9;5;41;110;163;5;26;176;117;2;13;18;17.46;25.873;0.794;4.127;27.937;18.571;0.317;2.063;2.857
905905042;9;5;42;177;195;10;36;261;225;2;29;20;18.534;20.419;1.047;3.77;27.33;23.56;0.209;3.037;2.094
905901002;9;1;2;59;81;4;13;122;70;7;15;11;15.445;21.204;1.047;3.403;31.937;18.325;1.832;3.927;2.88
905902001;9;2;1;57;83;0;14;157;46;0;12;14;14.883;21.671;0.0;3.655;40.992;12.01;0.0;3.133;3.655
905902002;9;2;2;60;54;2;9;151;40;0;9;21;17.341;15.607;0.578;2.601;43.642;11.561;0.0;2.601;6.069
