CUSEC;PROV;DIST;SECC_CEN;A POR ELLOS;AHORA GETAF;AdAgetafe;C's;IUCM-LV;P.P.;P.S.O.E.;UDEC;UPyD;VOX;%A POR ELLOS;%AHORA GETAF;%AdAgetafe;%C's;%IUCM-LV;%P.P.;%P.S.O.E.;%UDEC;%UPyD;%VOX
2806503008;28;3;8;5;149;9;47;52;202;171;2;13;4;0.765;22.783;1.376;7.187;7.951;30.887;26.147;0.306;1.988;0.612
2806503009;28;3;9;8;281;5;82;107;210;292;0;25;3;0.79;27.739;0.494;8.095;10.563;20.731;28.825;0.0;2.468;0.296
2806503010;28;3;10;8;114;5;44;29;193;193;1;10;5;1.329;18.937;0.831;7.309;4.817;32.06;32.06;0.166;1.661;0.831
2806503011;28;3;11;2;92;5;37;26;117;155;0;10;3;0.447;20.582;1.119;8.277;5.817;26.174;34.676;0.0;2.237;0.671
2806503012;28;3;12;5;141;9;32;44;160;211;0;7;4;0.816;23.002;1.468;5.22;7.178;26.101;34.421;0.0;1.142;0.653
2806503013;28;3;13;4;92;1;30;27;133;188;0;16;3;0.81;18.623;0.202;6.073;5.466;26.923;38.057;0.0;3.239;0.607
2806503014;28;3;14;8;83;8;34;37;166;211;0;19;4;1.404;14.561;1.404;5.965;6.491;29.123;37.018;0.0;3.333;0.702
2806503015;28;3;15;4;128;6;25;29;151;174;0;10;2;0.756;24.197;1.134;4.726;5.482;28.544;32.892;0.0;1.89;0.378
2806503016;28;3;16;5;133;4;33;23;127;184;0;13;5;0.949;25.237;0.759;6.262;4.364;24.099;34.915;0.0;2.467;0.949
2806503037;28;3;37;6;280;11;147;59;179;247;1;48;1;0.613;28.601;1.124;15.015;6.027;18.284;25.23;0.102;4.903;0.102
2806503038;28;3;38;9;307;10;165;96;311;295;0;51;2;0.722;24.639;0.803;13.242;7.705;24.96;23.676;0.0;4.093;0.161
2806503039;28;3;39;6;171;7;132;38;233;153;0;36;4;0.769;21.923;0.897;16.923;4.872;29.872;19.615;0.0;4.615;0.513
2806503040;28;3;40;11;268;9;95;67;183;213;1;26;8;1.249;30.42;1.022;10.783;7.605;20.772;24.177;0.114;2.951;0.908
2806503041;28;3;41;4;269;7;63;37;237;147;0;35;10;0.494;33.251;0.865;7.787;4.574;29.295;18.171;0.0;4.326;1.236
2806504027;28;4;27;15;244;11;64;52;209;187;2;26;10;1.829;29.756;1.341;7.805;6.341;25.488;22.805;0.244;3.171;1.22
2806504028;28;4;28;9;218;9;101;62;178;125;1;39;10;1.197;28.989;1.197;13.431;8.245;23.67;16.622;0.133;5.186;1.33
