CUSEC;PROV;DIST;SECC_CEN;3VIA ó 3VIA;C's;GANEMOS;GMOST;IUCM-LV;P-LIB;P.P.;P.S.O.E.;PCAS-TC-PAC;SOMOS;UPyD;%3VIA ó 3VIA;%C's;%GANEMOS;%GMOST;%IUCM-LV;%P-LIB;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%SOMOS;%UPyD
2809204024;28;4;24;12;0;23;189;54;0;239;253;2;7;24;1.494;0.0;2.864;23.537;6.725;0.0;29.763;31.507;0.249;0.872;2.989
2809204043;28;4;43;16;0;41;151;27;1;235;108;0;1;48;2.548;0.0;6.529;24.045;4.299;0.159;37.42;17.197;0.0;0.159;7.643
2809201023;28;1;23;21;0;41;78;23;0;286;80;1;2;29;3.743;0.0;7.308;13.904;4.1;0.0;50.98;14.26;0.178;0.357;5.169
2809202001;28;2;1;22;0;28;122;37;2;307;195;1;2;29;2.953;0.0;3.758;16.376;4.966;0.268;41.208;26.174;0.134;0.268;3.893
2809202002;28;2;2;3;0;20;117;37;0;186;154;0;4;13;0.562;0.0;3.745;21.91;6.929;0.0;34.831;28.839;0.0;0.749;2.434
2809202003;28;2;3;14;0;28;128;37;1;167;146;0;2;28;2.541;0.0;5.082;23.23;6.715;0.181;30.309;26.497;0.0;0.363;5.082
2809202004;28;2;4;14;0;25;95;28;4;166;131;0;3;17;2.899;0.0;5.176;19.669;5.797;0.828;34.369;27.122;0.0;0.621;3.52
2809202006;28;2;6;22;0;25;126;30;0;273;155;0;3;22;3.354;0.0;3.811;19.207;4.573;0.0;41.616;23.628;0.0;0.457;3.354
2809201009;28;1;9;22;0;44;232;58;2;352;226;1;10;62;2.18;0.0;4.361;22.993;5.748;0.198;34.886;22.398;0.099;0.991;6.145
2809201010;28;1;10;15;0;63;160;44;0;215;156;2;10;29;2.161;0.0;9.078;23.055;6.34;0.0;30.98;22.478;0.288;1.441;4.179
2809201011;28;1;11;46;0;83;247;80;1;379;227;0;7;60;4.071;0.0;7.345;21.858;7.08;0.088;33.54;20.088;0.0;0.619;5.31
2809201012;28;1;12;35;0;54;247;91;2;359;242;2;11;53;3.193;0.0;4.927;22.536;8.303;0.182;32.755;22.08;0.182;1.004;4.836
2809202007;28;2;7;7;0;37;156;43;1;290;158;1;6;20;0.974;0.0;5.146;21.697;5.981;0.139;40.334;21.975;0.139;0.834;2.782
2809202008;28;2;8;25;0;45;156;47;0;276;221;4;8;28;3.086;0.0;5.556;19.259;5.802;0.0;34.074;27.284;0.494;0.988;3.457
2809204001;28;4;1;10;0;20;70;26;0;190;93;0;5;14;2.336;0.0;4.673;16.355;6.075;0.0;44.393;21.729;0.0;1.168;3.271
2809204002;28;4;2;17;0;37;109;37;3;296;174;1;15;14;2.418;0.0;5.263;15.505;5.263;0.427;42.105;24.751;0.142;2.134;1.991
2809204003;28;4;3;10;0;51;84;41;1;202;219;1;17;16;1.558;0.0;7.944;13.084;6.386;0.156;31.464;34.112;0.156;2.648;2.492
2809204004;28;4;4;10;0;27;85;24;2;211;103;0;5;23;2.041;0.0;5.51;17.347;4.898;0.408;43.061;21.02;0.0;1.02;4.694
2809204025;28;4;25;20;0;52;253;63;0;429;265;1;22;39;1.748;0.0;4.545;22.115;5.507;0.0;37.5;23.164;0.087;1.923;3.409
2809204026;28;4;26;14;0;29;123;38;1;278;188;2;10;20;1.991;0.0;4.125;17.496;5.405;0.142;39.545;26.743;0.284;1.422;2.845
2809201013;28;1;13;15;0;30;280;58;1;379;241;1;14;19;1.445;0.0;2.89;26.975;5.588;0.096;36.513;23.218;0.096;1.349;1.83
2809201014;28;1;14;28;0;32;223;71;0;298;220;3;14;48;2.988;0.0;3.415;23.799;7.577;0.0;31.804;23.479;0.32;1.494;5.123
2809202009;28;2;9;5;0;30;84;36;2;177;149;1;4;26;0.973;0.0;5.837;16.342;7.004;0.389;34.436;28.988;0.195;0.778;5.058
2809202010;28;2;10;5;0;17;64;30;2;107;81;2;7;16;1.511;0.0;5.136;19.335;9.063;0.604;32.326;24.471;0.604;2.115;4.834
2809202011;28;2;11;19;0;25;89;39;2;165;135;0;2;24;3.8;0.0;5.0;17.8;7.8;0.4;33.0;27.0;0.0;0.4;4.8
2809202012;28;2;12;2;0;19;83;21;0;114;133;2;2;7;0.522;0.0;4.961;21.671;5.483;0.0;29.765;34.726;0.522;0.522;1.828
2809204005;28;4;5;14;0;30;124;67;2;346;228;1;6;41;1.63;0.0;3.492;14.435;7.8;0.233;40.279;26.542;0.116;0.698;4.773
2809204006;28;4;6;27;0;42;125;51;3;262;239;3;8;24;3.444;0.0;5.357;15.944;6.505;0.383;33.418;30.485;0.383;1.02;3.061
2809204007;28;4;7;7;0;24;90;51;2;142;167;4;6;15;1.378;0.0;4.724;17.717;10.039;0.394;27.953;32.874;0.787;1.181;2.953
2809204027;28;4;27;27;0;64;203;74;2;339;243;1;6;38;2.708;0.0;6.419;20.361;7.422;0.201;34.002;24.373;0.1;0.602;3.811
2809204028;28;4;28;5;0;30;122;44;1;202;135;5;1;16;0.891;0.0;5.348;21.747;7.843;0.178;36.007;24.064;0.891;0.178;2.852
2809204029;28;4;29;11;0;27;102;31;1;162;116;0;0;22;2.331;0.0;5.72;21.61;6.568;0.212;34.322;24.576;0.0;0.0;4.661
2809204030;28;4;30;19;0;42;237;75;3;343;205;2;18;49;1.913;0.0;4.23;23.867;7.553;0.302;34.542;20.645;0.201;1.813;4.935
2809202019;28;2;19;18;0;21;132;27;0;245;136;1;2;23;2.975;0.0;3.471;21.818;4.463;0.0;40.496;22.479;0.165;0.331;3.802
2809202020;28;2;20;23;0;47;185;49;0;299;197;2;7;29;2.745;0.0;5.609;22.076;5.847;0.0;35.68;23.508;0.239;0.835;3.461
2809202021;28;2;21;18;0;52;220;51;1;391;237;0;6;39;1.773;0.0;5.123;21.675;5.025;0.099;38.522;23.35;0.0;0.591;3.842
2809202022;28;2;22;8;0;20;144;37;2;284;104;1;1;25;1.278;0.0;3.195;23.003;5.911;0.319;45.367;16.613;0.16;0.16;3.994
2809202023;28;2;23;14;0;30;143;43;4;291;180;0;1;25;1.915;0.0;4.104;19.562;5.882;0.547;39.808;24.624;0.0;0.137;3.42
2809202024;28;2;24;11;0;28;134;42;0;316;169;1;1;50;1.463;0.0;3.723;17.819;5.585;0.0;42.021;22.473;0.133;0.133;6.649
2809202025;28;2;25;16;0;34;134;39;0;377;117;3;2;40;2.1;0.0;4.462;17.585;5.118;0.0;49.475;15.354;0.394;0.262;5.249
