TIPO_ELECCION;AÑO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
4;2015;5;364;AGRUPACION;"AGRUPACION DE ELECTORES ""VOZ DEL VALLE""";364;364;364
4;2015;5;365;AEYAVZ;AGRUPACIÓN DE ELECTORES Y AMIGOS DEL VALLE DE ZAMA;365;365;365
4;2015;5;366;VPC;AGRUPACION DE ELECTROES VECINOS POR CALALBERCHE;366;366;366
4;2015;5;368;ADEM;AGRUPACION DEMOCRATICA DE ELECTORES DE MANCHA REAL;368;368;368
4;2015;5;369;ADS;AGRUPACION DEMOCRATICA DE SETILES;369;369;369
4;2015;5;370;ADIA;AGRUPACION DEMOCRATICA INDEPENDIENTE ANDALUCIA;370;370;370
4;2015;5;371;SOMOS A.S.I;AGRUPACIÓN DE SANTAELLANOS INDEPENDIENTES;371;371;371
4;2015;5;372;AGRUP.TORRE;AGRUPACION DE TORREQUEMADA;372;372;372
4;2015;5;373;A.D.V.;AGRUPACION DE VECINOS;373;373;373
4;2015;5;374;AVA;AGRUPACIÓN DE VECINOS DE ALDEASEÑOR;374;374;374
4;2015;5;375;A.D.V.I.;AGRUPACION DE VECINOS INDEPENDIENTE DE SANTA CRUZ;375;375;375
4;2015;5;376;AVIG;AGRUPACION DE VECINOS INDEPENDIENTES DE GELIDA;376;376;376
4;2015;5;377;VCM;AGRUPACION DE VECINOS POR EL CASAR Y MESONES;377;377;377
4;2015;5;378;AVVS;AGRUPACION DE VECINOS VALLE DE SEDANO;378;378;378
4;2015;5;379;A.V.I.;AGRUPACION DE VEIGUESES INDEPENDIENTES;379;379;379
4;2015;5;380;I. x DUBRA;AGRUPACION DUBRESA INDEPENDIENTE;380;380;380
4;2015;5;382;AEA;AGRUPACION ELECTORAL ALDAPETAS;382;382;382
4;2015;5;383;AEA;AGRUPACION ELECTORAL ALDASUR;383;383;383
4;2015;5;384;A.E.A.;AGRUPACIÓN ELECTORAL ARANARACHE;384;384;384
4;2015;5;386;AZKAR;AGRUPACION ELECTORAL AZKAR;386;386;386
4;2015;5;389;AGRUPACION;AGRUPACION ELECTORAL BIURRUN-OLKOTZ;389;389;389
4;2015;5;391;AEAO;AGRUPACION ELECTORAL DE ARROYO DEL OJANCO;391;391;391
4;2015;5;392;A.G.I.Z.I.A;AGRUPACION ELECTORAL DE IZQUIERDA INDEPENDIENTE DE;392;392;392
4;2015;5;393;A.E.O.;AGRUPACION ELECTORAL DE ORBARA;393;393;393
4;2015;5;395;AEDVH;AGRUPACION ELECTORAL DE VECINOS DE HERENCIA;395;395;395
4;2015;5;396;A.E.V.I.;AGRUPACION ELECTORAL DE VILLANUEVA DEL RIO;396;396;396
