CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX
0905906012;09;6;12;95;98;2;19;251;119;0;12;15
0905907001;09;7;01;65;72;2;13;210;69;6;6;6
0905907002;09;7;02;66;105;4;24;248;101;12;12;17
0905907003;09;7;03;140;167;9;21;293;153;6;16;22
0905907004;09;7;04;59;103;7;4;249;116;0;4;18
0905907005;09;7;05;56;78;6;8;139;94;3;9;7
0905905024;09;5;24;115;266;14;26;196;245;8;24;16
0905905025;09;5;25;89;119;2;29;361;105;4;9;28
0905903006;09;3;06;136;253;15;29;274;270;5;32;16
0905903007;09;3;07;90;107;5;22;289;115;3;10;14
0905903008;09;3;08;112;155;9;15;197;169;7;23;11
0905905026;09;5;26;108;71;3;16;318;46;0;12;19
0905905027;09;5;27;84;64;2;13;265;62;1;11;32
0905905028;09;5;28;92;39;4;2;251;44;1;19;18
0905905029;09;5;29;43;62;3;13;177;86;2;6;17
0905905030;09;5;30;32;117;2;10;95;129;2;14;17
0905905031;09;5;31;82;128;2;14;149;99;2;10;15
0905905032;09;5;32;127;130;4;20;284;144;3;23;22
0905905033;09;5;33;173;236;17;34;312;210;3;20;31
0905905034;09;5;34;40;51;1;10;165;65;5;5;13
0905905035;09;5;35;132;149;5;16;123;151;3;26;10
0905909017;09;9;17;39;93;2;5;112;141;2;7;4
0905909018;09;9;18;23;68;3;2;111;107;0;4;7
0905903009;09;3;09;148;279;12;28;247;221;8;27;22
0905903010;09;3;10;176;249;12;20;152;195;18;31;13
0905903011;09;3;11;93;171;7;16;79;103;0;7;10
0905904001;09;4;01;58;141;4;12;165;107;4;10;22
0905904002;09;4;02;37;92;5;6;147;96;3;4;11
0905904003;09;4;03;34;113;7;7;69;64;2;5;4
0905904004;09;4;04;24;124;5;6;86;76;6;10;5
0905905001;09;5;01;83;147;11;21;217;169;6;11;17
0905909019;09;9;19;65;146;6;11;126;156;2;13;8
0905909020;09;9;20;37;70;0;9;113;100;1;13;12
0905909021;09;9;21;63;112;7;16;234;196;4;9;9
0905909022;09;9;22;51;106;2;10;174;175;2;19;12
0905909023;09;9;23;97;210;12;21;199;275;2;8;6
0905909024;09;9;24;103;216;5;18;113;234;5;12;13
0905909025;09;9;25;47;121;2;12;100;191;1;12;11
0905905049;09;5;49;109;93;8;12;153;108;7;12;18
